P.CO2,Blocker,Other,Exudate
0,None,,13.8
0,None,,12
0,None,,7.1
0,None,,20.4
0,None,,11.5
0,None,,2.9
0,None,,18.6
0,None,,9.4
0,None,,24.1
0,None,,29.7
0,None,,12
0,None,,16.1
100,None,,25.7
100,None,,69.7
100,None,,205.6
100,None,,80.6
100,None,,18.6
100,None,,92.1
100,None,,106.1
100,None,,57.9
100,None,,92
100,None,,14.1
100,None,,63.5
100,None,,86.6
100,None,,47.6
100,None,,69.7
100,None,,109.8
100,None,,46.8
100,None,,118.7
100,None,,39.7
100,None,,79.6
100,None,,96.1
25,None,,26.8
25,None,,11
25,None,,7.2
25,None,,1.1
25,None,,1.5
25,None,,8.7
25,None,,2.2
25,None,,9.9
25,None,,12.6
25,None,,45
25,None,,17.7
25,None,,19.2
50,None,,6.5
50,None,,4.3
50,None,,44.6
50,None,,21.5
50,None,,13.3
50,None,,6.2
50,None,,36.2
50,None,,6.4
50,None,,89.8
50,None,,42.9
50,None,,10.7
50,None,,25
75,None,,42.6
75,None,,45.4
75,None,,17.9
75,None,,29.3
75,None,,56.6
75,None,,83.8
75,None,,42.3
75,None,,7
75,None,,32.5
75,None,,80.3
75,None,,60.1
75,None,,97.3
0,Water,,14
0,Water,,7
0,Water,,28.6
0,Water,,22.2
0,Water,,39.2
0,Water,,27.9
0,Water,,29.5
0,Water,,9.5
0,Water,,26.8
0,Water,,13
0,Water,,14.4
0,Water,,19.6
100,Water,,147.7
100,Water,,207.9
100,Water,,180.8
100,Water,,125.9
100,Water,,54
100,Water,,30.3
100,Water,,46.2
100,Water,,134
100,Water,,78
25,Water,,32.4
25,Water,,32.5
25,Water,,13.4
25,Water,,54.2
25,Water,,42.2
25,Water,,29.9
50,Water,,77.3
50,Water,,38
50,Water,,21.2
50,Water,,70.2
50,Water,,56.9
50,Water,,27.7
50,Water,,46.3
50,Water,,31.9
50,Water,,36.4
50,Water,,45.6
50,Water,,28.9
50,Water,,48.6
75,Water,,71.4
75,Water,,60.8
75,Water,,69.7
75,Water,,83.4
75,Water,,43.6
75,Water,,42.1
